frame,id_marker,x,y,z,roll,pitch,yaw
188,37,203.571730682,-144.172480644,1117.31211676,16.6571722139,111.04023214,14.2454512779
189,379,186.697627782,-130.792927088,1050.28498534,-72.1499058482,-67.8664000197,70.1476837702
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,930,-720.959570097,-175.645160652,345.761389865,150.094775085,-34.9631153775,31.7202261958
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,987,11370.0756945,-1148.48791025,5155.37351502,69.9131035975,132.721988396,13.2213902535
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,190,106.786870626,-214.819231236,626.498687214,-11.0882109815,-113.713693769,-125.627085578
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,190,574.671335199,-334.877962325,325.149888071,107.657304196,23.2070287423,-84.7274477208
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,683,1580.37006715,-948.84628983,1901.65217893,56.0697299956,132.177735665,24.6082974539
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,683,1327.36307888,-954.51880582,1862.62825617,56.9930808582,126.592874368,27.9612899129
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,112,-185.874665629,407.910524187,4319.37958305,-115.379057884,-111.038539226,-12.1274688137
1140,0
1141,0
1142,216,1212.42767425,-978.174339216,1902.42564436,144.62931254,53.4798330755,64.8415076103
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,656,1316.82940921,-1204.25480358,1371.16774545,-95.0668337979,-101.120576221,-57.6533359193
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,190,239.083428659,-753.343646915,1045.33539937,44.3034133141,-150.307895295,63.676554712
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,172,-57.4612007207,-901.043780006,1155.30987035,-56.9942339703,31.4265775748,55.0024646164
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,683,370.463545867,-231.522539488,248.040342008,-39.4923178183,84.1840087178,63.0351387722
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,470,398.425675781,-532.440205101,1164.68511677,118.776036617,58.523673244,74.3675271931
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,987,730.127490414,-491.755443855,644.317699839,122.5954461,59.7982606054,-31.282772932
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,896,746.413682629,-536.586383351,715.270291829,39.9621469864,153.818148839,-69.4760713607
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,107,-277.07347469,267.708019036,192.932687362,132.126207275,118.038290001,-18.199734012
1352,190,1644.96720397,-942.852409053,1260.79315352,66.136850352,-130.989305022,51.934318817
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,896,412.441024954,-315.178666914,291.479741216,99.3193392412,13.5029518581,-83.2352471292
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,216,493.518195074,-376.051870964,341.915013247,6.66327775524,-95.7567839218,58.9996078158
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,896,527.245461294,-409.511568928,366.484079038,101.016885091,11.4205958187,-84.7201378736
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,216,517.713736085,-395.206749008,358.67299605,8.50050889451,-94.1577627151,57.7796707606
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,896,474.55784681,-362.869397405,329.446024626,100.291243925,11.4739196559,-82.5328362047
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,896,421.275187177,-322.248340416,295.860941657,98.8407100524,13.1151230066,-84.0186554249
1477,0
1478,896,451.187516333,-343.527946527,314.094307655,99.5863757213,12.5303559901,-83.2233231813
1479,0
1480,896,540.684552481,-411.071306114,372.657340183,101.328706691,7.75003464283,-79.9908518065
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,896,432.625714705,-329.198380008,303.219577271,99.3425088926,12.8986416312,-82.9266158584
1488,896,476.417048628,-363.033288233,329.780724707,100.347700294,9.32563320398,-80.249599659
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,896,424.448457295,-322.795922896,298.503065475,98.7220398779,13.6997594057,-82.4657207828
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,987,-622.12236655,-1537.74131676,852.021774944,-37.4197199235,37.5427808227,-38.8816865433
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,190,-557.583146123,-1362.06117613,747.748476537,49.1600791911,38.7411127781,134.183519003
1546,0
1547,525,-233.09135467,-520.282029674,722.048054859,128.278640795,51.1237131433,-25.2715385881
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,190,-351.374864745,-85.7041700098,215.810527179,-99.8953543088,-16.0855707185,-14.849742378
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,896,690.109479885,-523.947165472,696.218321785,24.9837321566,160.596479905,-73.8082668631
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,896,1722.8651607,-952.066224019,1291.37471242,-48.9767794345,-35.2692954236,-45.4887003462
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,896,898.262111262,-649.315123248,855.216491076,38.8790407334,157.253937621,-69.4780846529
1616,0
1617,190,1738.8184785,-946.231008671,1275.29010818,-3.18181711546,-80.7903330304,-134.720712821
1618,896,-360.63435902,-769.62114889,1039.70698455,-27.3533346276,-82.6651712314,-135.265527994
1619,896,732.143714901,-519.95171126,696.372853651,39.1835327548,154.259881167,-70.7026164033
1620,0
1621,190,1772.50834247,-960.621789122,1279.16249692,-12.2554017639,-72.3130854218,-124.219723009
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,216,-355.217735512,-809.472887732,1089.83711795,-61.0414456638,23.5579917455,37.2574182226
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,216,-364.54364843,-911.415713113,1224.26621966,-61.2717547112,24.1535973317,34.8929977056
1640,0
1641,415,-260.260103968,246.849371726,174.53164612,-124.292353614,-123.315801025,30.9441493711
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,216,699.53750657,-494.669278055,407.465105512,80.8615530717,115.75172089,-108.451159938
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,896,526.628061159,-365.251235896,344.714271796,100.012932775,16.0371004457,-82.8134064025
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,544,-254.603704287,239.474522283,172.979962474,-137.713026615,-108.67114062,27.9839263209
1671,896,987.761145245,-598.443020328,769.766718744,33.9518036757,158.967806152,-67.8414696602
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,896,1799.8543103,-1233.49855618,1553.0997171,-36.6930038138,-160.10907791,62.3475090693
1702,0
1703,0
1704,106,-282.689424124,276.568220602,200.868787648,-6.36730667035,-175.304615634,16.1025405761
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,378,948.837400627,-600.183486351,755.747503842,130.456153174,-32.0502264086,8.07463332542
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,430,-73.9612151999,-856.344412741,2657.23260048,-83.0726585688,-2.59275295497,-3.92925533806
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,379,988.286452734,-583.77302557,750.757187173,122.131542442,67.5589423055,-30.9240921847
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,379,-36.2429022606,-1145.6693154,1466.33182477,52.84051242,-150.865285912,54.6996773402
1760,0
1761,0
1762,0
1763,216,1510.87531137,-850.1393582,1820.18061548,147.904080135,59.7689121044,55.070269686
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,216,1686.93574976,-829.463391425,1837.75963615,145.387584757,66.152431217,49.0774718495
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,366,317.387207578,-109.622366149,459.674413053,-93.2921431325,109.05168697,-37.1422637978
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,216,38.911957301,-477.244177693,641.349843762,130.822578872,-37.7362603909,14.5816256137
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,998,208.355510549,-185.048899384,182.865475395,-20.3053061828,99.8845823509,54.3348659537
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,112,-382.220104195,498.589041553,4309.55986523,-116.702535614,-113.237496285,-13.6646712595
1846,0
1847,896,893.460763471,-134.856416411,739.88305418,-68.1933279605,-54.4458443429,-50.7182987251
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,183,1123.76092612,-176.271595159,840.325728788,-82.910596447,13.1540915288,25.6993346656
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,666,-197.563182987,-160.659454022,745.22617549,41.89949448,123.366988498,-78.8220908891
1900,0
1901,0
1902,0
1903,896,911.352347999,-837.289944223,1010.65973048,-39.3070880724,-62.4459456154,-98.3276142223
1904,0
1905,0
1906,0
1907,0
1908,0
1909,896,794.951780138,-724.727921401,871.023767666,-38.8283469346,-60.0010455954,-100.721623061
1910,896,851.483331473,-772.854726064,911.244955484,-41.2128874928,-54.2920056198,-88.777766764
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,190,1634.18498779,-1132.22784122,1427.87470287,85.7134009043,-110.449041728,31.4719572291
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,190,708.495383313,-365.458706688,383.326963226,107.320261546,23.3647427227,-86.4067526321
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,379,870.736683579,-360.85755343,444.232027125,-97.8966732054,-15.2020425046,-22.7010188426
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
